epoch,MaP,MaP@[IoU=50],MaP@[IoU=75],MaP@[area=large],MaP@[area=medium],MaP@[area=small],Recall@[area=large],Recall@[area=medium],Recall@[area=small],Recall@[max_detections=100],Recall@[max_detections=10],Recall@[max_detections=1],box_loss,class_loss,loss,val_box_loss,val_class_loss,val_loss
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7481493949890137,148.05104064941406,151.79920959472656,5.1835222244262695,70.5968017578125,75.78031158447266
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.814038038253784,33.56034851074219,36.374393463134766,4.207428932189941,21.319246292114258,25.526676177978516
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2461180686950684,6.256476879119873,8.502596855163574,4.094398021697998,5.19058895111084,9.284988403320312
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9344557523727417,1.8848577737808228,3.8193137645721436,4.3935112953186035,2.6303224563598633,7.023834228515625
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.704827904701233,0.9925712943077087,2.697399377822876,4.083428382873535,2.1041078567504883,6.187536716461182
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5354270935058594,0.6878125071525574,2.2232396602630615,4.0451436042785645,1.956279993057251,6.0014238357543945
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.407147765159607,0.5632055401802063,1.970353364944458,3.6729986667633057,2.0689759254455566,5.741974353790283
7,0.007592771202325821,0.04306216165423393,0.0,0.09603960067033768,0.012267319485545158,0.0,0.12222222238779068,0.03695652261376381,0.0,0.0234375,0.0234375,0.01614583283662796,1.2954593896865845,0.4844483435153961,1.779907464981079,3.221161127090454,1.0385626554489136,4.259724140167236
8,0.41761502623558044,0.7832666039466858,0.4390546381473541,0.24729925394058228,0.4446851909160614,0.42479023337364197,0.3222222328186035,0.47065216302871704,0.47472527623176575,0.46562498807907104,0.46562498807907104,0.08906249701976776,1.201690435409546,0.4237128794193268,1.6254032850265503,1.8531830310821533,0.6041540503501892,2.457336902618408
9,0.3165702521800995,0.7590295076370239,0.1265150010585785,0.4585965871810913,0.44977784156799316,0.20261934399604797,0.5333333611488342,0.5554347634315491,0.2131868153810501,0.3921875059604645,0.3921875059604645,0.05677083507180214,1.134260654449463,0.3857824504375458,1.5200426578521729,1.947007417678833,0.5767915844917297,2.523798942565918
